物品编号,物品重量,物品价值
1,37,102.94
2,20,319.54
3,97,690.70
4,43,489.09
5,1,664.47
6,51,943.56
7,21,711.16
8,78,447.95
9,84,363.02
10,38,608.41
11,96,715.80
12,17,859.97
13,4,947.02
14,31,656.64
15,79,250.11
16,20,903.76
17,65,150.10
18,44,723.11
19,27,816.14
20,73,491.98
21,70,736.92
22,56,946.36
23,12,574.35
24,90,288.86
25,90,761.20
26,36,692.54
27,5,858.24
28,24,940.34
29,36,136.64
30,10,991.71
31,70,201.21
32,56,616.43
33,52,120.00
34,73,786.50
35,48,176.06
36,92,766.59
37,39,206.79
38,80,493.73
39,45,546.83
40,86,287.10
41,51,539.52
42,83,278.01
43,66,833.39
44,98,601.27
45,5,828.39
46,45,238.13
47,2,188.31
48,91,951.88
49,97,284.47
50,12,705.97
51,90,986.43
52,62,106.34
53,46,365.47
54,7,857.67
55,47,826.58
56,35,874.39
57,67,433.86
58,31,137.57
59,2,846.24
60,70,337.81
61,63,727.61
62,19,694.60
63,81,648.45
64,83,893.46
65,2,943.45
66,92,930.89
67,31,541.28
68,90,707.97
69,65,732.39
70,81,863.30
71,68,289.63
72,16,485.60
73,6,308.17
74,29,397.16
75,18,679.90
76,52,448.14
77,37,267.85
78,72,412.71
79,29,696.80
80,35,127.58
81,73,624.92
82,78,363.65
83,72,212.81
84,61,971.13
85,37,855.11
86,7,488.85
87,74,990.28
88,54,958.80
89,11,954.63
90,16,535.81
91,42,595.64
92,37,133.56
93,21,810.75
94,41,397.27
95,59,826.60
96,28,843.88
97,83,585.09
98,88,859.95
99,1,951.38
100,70,898.68
101,10,309.35
102,21,865.72
103,86,960.86
104,51,335.09
105,56,493.40
106,32,285.65
107,86,432.87
108,24,198.47
109,81,146.03
110,56,106.26
111,99,209.26
112,53,534.99
113,44,308.31
114,76,928.39
115,22,585.36
116,25,296.58
117,100,498.95
118,49,678.34
119,12,511.78
120,89,958.75
121,55,672.87
122,6,531.94
123,18,509.03
124,94,350.44
125,82,591.68
126,80,150.73
127,69,294.38
128,46,996.76
129,35,206.93
130,85,230.88
131,62,121.37
132,11,573.99
133,58,155.87
134,81,664.41
135,12,431.74
136,28,477.14
137,89,569.57
138,65,613.13
139,89,719.84
140,37,100.08
141,64,893.68
142,62,494.86
143,37,309.60
144,23,228.16
145,78,721.60
146,92,482.39
147,35,144.11
148,90,243.10
149,10,740.19
150,36,914.66
151,65,187.40
152,2,840.80
153,46,188.06
154,29,120.71
155,72,538.94
156,91,561.28
157,35,726.13
158,20,455.94
159,94,860.69
160,77,531.25
161,23,520.87
162,96,951.00
163,71,816.39
164,73,319.29
165,78,140.10
166,95,872.94
167,5,623.62
168,97,203.36
169,13,461.13
170,14,699.35
171,27,818.34
172,35,850.86
173,35,691.36
174,65,504.42
175,50,331.54
176,79,411.22
177,95,101.65
178,61,257.85
179,91,979.13
180,45,721.05
181,91,772.00
182,96,236.26
183,18,363.38
184,5,121.56
185,16,549.60
186,33,646.83
187,98,187.92
188,62,788.92
189,47,519.72
190,2,463.85
191,99,284.22
192,46,876.43
193,22,888.84
194,12,877.42
195,98,851.38
196,72,269.94
197,17,580.25
198,78,754.75
199,77,307.79
200,64,155.35
201,49,542.49
202,89,314.05
203,85,455.89
204,43,898.62
205,20,869.78
206,29,410.95
207,93,958.91
208,36,938.28
209,31,735.44
210,68,137.05
211,54,230.36
212,29,290.76
213,87,237.50
214,2,831.63
215,42,936.06
216,24,567.70
217,45,556.88
218,51,305.04
219,71,308.47
220,58,606.24
221,74,628.16
222,76,675.48
223,66,373.84
224,92,311.38
225,24,222.69
226,9,117.41
227,33,291.39
228,36,111.29
229,75,444.43
230,30,923.29
231,56,505.52
232,12,524.74
233,72,738.05
234,78,576.96
235,29,710.09
236,36,941.19
237,33,509.61
238,99,940.40
239,9,625.46
240,27,313.42
241,3,859.87
242,79,452.20
243,37,887.94
244,94,662.57
245,87,129.88
246,13,839.24
247,88,451.66
248,37,795.76
249,66,359.31
250,94,440.09
251,52,403.18
252,80,936.06
253,89,357.03
254,49,241.76
255,61,688.28
256,71,265.21
257,41,584.37
258,15,128.26
259,48,551.52
260,46,878.71
261,36,950.83
262,67,642.05
263,55,888.10
264,46,153.09
265,2,522.22
266,83,357.80
267,13,408.42
268,6,326.46
269,69,941.52
270,38,568.75
271,87,915.02
272,63,190.75
273,14,961.82
274,48,185.53
275,70,991.87
276,80,396.86
277,34,992.34
278,69,647.55
279,95,606.54
280,71,772.33
281,25,556.36
282,94,146.64
283,47,424.55
284,74,451.27
285,42,362.09
286,38,563.69
287,67,336.35
288,23,817.10
289,34,885.85
290,6,117.11
291,97,796.75
292,65,457.48
293,100,167.60
294,22,524.52
295,1,676.83
296,16,132.03
297,48,719.46
298,98,776.28
299,69,628.46
300,61,652.33
301,40,346.13
302,53,921.99
303,69,261.31
304,79,874.39
305,16,178.23
306,42,569.24
307,35,832.15
308,76,303.99
309,20,217.97
310,26,195.03
311,48,846.93
312,70,914.03
313,89,397.38
314,31,769.50
315,50,775.16
316,46,974.70
317,39,848.96
318,48,792.24
319,80,676.88
320,72,696.03
321,46,488.93
322,75,641.26
323,18,642.14
324,37,783.01
325,84,212.89
326,10,734.18
327,70,442.95
328,60,203.16
329,64,804.14
330,26,702.15
331,15,197.73
332,62,366.54
333,11,954.16
334,79,476.10
335,78,248.18
336,90,418.42
337,78,796.01
338,13,585.58
339,60,248.90
340,17,744.29
341,85,149.99
342,29,770.21
343,17,169.13
344,62,287.46
345,35,481.81
346,38,503.32
347,72,507.47
348,11,279.17
349,36,673.31
350,100,528.37
351,53,818.58
352,59,881.18
353,37,105.60
354,65,907.88
355,34,152.71
356,26,640.65
357,87,954.93
358,99,984.51
359,26,307.81
360,97,558.06
361,92,700.67
362,55,355.11
363,85,193.77
364,15,167.02
365,25,946.22
366,25,857.04
367,54,209.40
368,25,926.97
369,50,152.05
370,62,566.80
371,59,432.10
372,59,728.11
373,22,881.56
374,32,511.53
375,89,719.48
376,60,209.23
377,64,959.07
378,26,692.87
379,38,924.11
380,70,187.59
381,99,940.78
382,29,723.11
383,48,320.28
384,7,101.59
385,51,897.80
386,68,574.18
387,49,743.57
388,81,165.73
389,93,911.83
390,37,538.94
391,14,842.73
392,95,938.36
393,19,783.51
394,26,404.93
395,98,344.12
396,14,301.61
397,46,753.02
398,85,540.78
399,89,828.80
400,70,454.07
401,70,533.31
402,8,395.05
403,30,321.79
404,74,615.80
405,6,255.79
406,45,707.48
407,32,594.24
408,55,645.95
409,57,628.57
410,27,432.84
411,90,177.54
412,37,272.79
413,54,507.06
414,24,977.39
415,16,990.77
416,89,236.43
417,81,877.36
418,65,647.47
419,19,679.68
420,61,843.63
421,35,851.73
422,57,911.01
423,60,368.87
424,7,635.63
425,86,977.04
426,62,171.28
427,54,826.33
428,3,568.14
429,18,355.19
430,6,253.32
431,56,540.10
432,20,203.88
433,90,176.66
434,51,402.63
435,52,208.05
436,15,317.70
437,61,165.92
438,60,396.50
439,35,139.63
440,27,214.18
441,45,539.71
442,22,168.01
443,54,470.39
444,50,557.65
445,36,477.80
446,87,442.18
447,22,588.85
448,27,914.77
449,5,306.22
450,11,784.88
451,17,476.07
452,82,109.64
453,64,192.84
454,42,464.13
455,11,357.64
456,36,291.50
457,47,755.66
458,99,323.94
459,38,467.89
460,36,314.49
461,6,183.42
462,84,270.65
463,46,927.16
464,23,930.51
465,76,469.07
466,43,471.71
467,21,830.92
468,88,194.21
469,95,255.05
470,15,867.12
471,64,152.05
472,69,680.59
473,8,391.92
474,41,793.09
475,73,855.11
476,24,614.94
477,65,608.71
478,40,518.51
479,47,923.29
480,63,415.70
481,50,796.36
482,50,193.69
483,62,197.86
484,5,349.20
485,44,603.33
486,24,711.85
487,92,930.29
488,34,997.56
489,12,943.80
490,61,182.59
491,16,346.40
492,59,238.46
493,53,218.38
494,96,418.70
495,99,423.67
496,79,238.02
497,82,547.40
498,21,934.60
499,86,680.40
500,47,155.65
501,1,616.40
502,4,257.77
503,9,977.75
504,24,661.69
505,79,334.59
506,98,952.78
507,8,834.29
508,28,467.59
509,45,205.36
510,50,357.31
511,92,652.88
512,52,168.34
513,93,809.63
514,10,331.16
515,62,360.03
516,76,797.63
517,27,601.32
518,19,917.60
519,16,858.08
520,37,695.39
521,69,115.85
522,21,416.99
523,74,189.38
524,63,587.97
525,23,890.74
526,36,973.49
527,39,613.52
528,5,680.56
529,43,898.59
530,100,773.43
531,42,496.51
532,32,562.37
533,86,893.13
534,66,756.98
535,37,712.97
536,56,124.14
537,5,967.20
538,24,641.83
539,97,360.44
540,8,588.41
541,33,823.53
542,42,459.57
543,72,686.41
544,70,251.78
545,60,157.93
546,67,404.44
547,69,127.63
548,61,240.22
549,45,955.01
550,96,794.85
551,80,262.30
552,66,476.65
553,88,896.31
554,34,346.87
555,12,174.35
556,56,260.82
557,28,381.09
558,86,860.96
559,75,830.45
560,28,762.19
561,43,659.52
562,84,320.47
563,37,569.35
564,93,424.71
565,10,278.31
566,25,503.16
567,5,604.07
568,5,384.58
569,50,639.09
570,100,304.93
571,38,736.16
572,70,100.27
573,64,868.82
574,82,876.26
575,51,582.67
576,38,295.12
577,29,903.23
578,14,970.83
579,24,915.73
580,36,612.42
581,83,182.54
582,34,507.08
583,59,614.31
584,20,982.89
585,95,959.51
586,72,641.94
587,48,928.92
588,31,404.91
589,65,920.18
590,5,357.09
591,94,858.24
592,100,337.04
593,87,317.12
594,21,357.97
595,67,738.93
596,72,103.02
597,45,215.22
598,26,784.85
599,12,547.29
600,35,509.53
601,62,849.70
602,89,836.88
603,70,113.87
604,61,376.01
605,26,996.87
606,92,308.33
607,14,350.44
608,63,377.50
609,27,157.41
610,62,337.48
611,82,989.32
612,99,699.49
613,40,852.12
614,1,667.79
615,82,235.33
616,87,605.72
617,29,229.86
618,23,621.92
619,84,830.53
620,62,818.06
621,13,688.61
622,74,187.89
623,40,930.73
624,17,609.20
625,25,808.37
626,84,318.11
627,45,395.27
628,56,407.71
629,52,796.99
630,56,640.46
631,46,888.95
632,91,915.65
633,74,848.44
634,39,882.36
635,22,696.25
636,82,538.51
637,24,513.37
638,75,606.84
639,24,448.55
640,69,127.96
641,63,882.42
642,35,861.68
643,47,863.44
644,64,636.84
645,33,581.85
646,45,540.46
647,27,596.68
648,3,886.75
649,46,881.87
650,95,956.55
651,3,506.75
652,43,848.11
653,32,117.08
654,52,629.34
655,1,831.63
656,64,532.76
657,59,820.09
658,88,983.16
659,70,278.45
660,50,799.08
661,38,766.78
662,23,458.52
663,43,625.30
664,64,669.49
665,65,334.73
666,14,436.05
667,100,635.74
668,51,160.56
669,76,973.99
670,19,472.70
671,97,885.77
672,96,525.65
673,66,190.09
674,78,850.64
675,76,603.16
676,58,109.78
677,28,139.94
678,67,738.54
679,56,919.66
680,21,217.56
681,18,139.80
682,77,965.56
683,5,135.13
684,50,292.90
685,2,986.29
686,87,607.36
687,86,794.82
688,36,411.83
689,9,389.25
690,1,885.33
691,86,678.50
692,40,287.49
693,63,217.69
694,87,177.48
695,55,102.66
696,34,187.70
697,99,357.99
698,94,842.78
699,98,334.92
700,34,165.10
701,88,784.41
702,61,856.90
703,33,320.83
704,100,299.63
705,45,142.44
706,50,861.57
707,71,723.52
708,29,153.72
709,75,744.53
710,50,525.54
711,80,875.52
712,8,139.77
713,2,178.20
714,72,418.64
715,11,343.22
716,73,300.31
717,88,126.81
718,7,397.96
719,18,604.01
720,49,100.49
721,41,902.74
722,43,806.83
723,25,535.43
724,100,133.26
725,31,593.00
726,20,185.86
727,55,117.33
728,94,336.84
729,92,617.64
730,12,297.18
731,59,646.31
732,82,124.88
733,16,600.25
734,20,460.42
735,13,562.59
736,22,429.05
737,95,551.30
738,95,101.68
739,90,389.53
740,73,453.96
741,73,463.80
742,58,514.88
743,60,585.53
744,52,845.03
745,37,921.47
746,73,435.56
747,51,408.56
748,22,668.23
749,64,219.40
750,88,727.15
751,5,493.02
752,36,802.93
753,77,597.48
754,47,179.87
755,100,139.28
756,81,246.81
757,39,185.78
758,83,422.07
759,94,115.57
760,54,633.57
761,8,363.05
762,79,144.03
763,44,172.46
764,64,962.87
765,94,627.22
766,32,234.20
767,3,269.83
768,85,542.98
769,93,778.65
770,5,928.26
771,5,116.26
772,3,245.88
773,74,515.90
774,76,870.11
775,74,621.07
776,21,274.85
777,47,943.94
778,14,786.03
779,79,958.69
780,56,744.45
781,32,794.69
782,63,970.86
783,3,245.66
784,43,573.14
785,84,860.39
786,100,686.74
787,41,230.14
788,91,988.46
789,58,439.24
790,47,374.64
791,40,893.70
792,44,144.41
793,96,193.69
794,59,378.04
795,91,665.92
796,26,451.79
797,12,620.93
798,53,679.30
799,53,351.32
800,62,720.53
801,29,636.34
802,24,748.46
803,34,868.74
804,82,114.83
805,11,769.03
806,2,404.63
807,84,203.33
808,68,420.89
809,4,170.07
810,21,789.80
811,63,371.10
812,15,326.82
813,100,933.31
814,7,955.06
815,21,995.72
816,4,615.27
817,46,828.36
818,34,859.65
819,94,197.97
820,51,468.52
821,48,546.55
822,72,882.06
823,50,997.99
824,8,186.03
825,19,258.95
826,68,543.97
827,98,729.23
828,6,414.58
829,5,787.13
830,20,946.66
831,27,365.85
832,43,590.77
833,85,386.34
834,45,119.56
835,87,461.98
836,22,196.13
837,98,641.31
838,86,181.96
839,1,803.70
840,96,124.75
841,97,774.31
842,65,216.51
843,85,173.39
844,28,563.25
845,66,165.92
846,16,955.75
847,14,726.93
848,66,783.45
849,67,988.35
850,69,580.78
851,59,782.90
852,64,847.42
853,17,150.84
854,31,532.71
855,90,324.70
856,72,725.03
857,94,258.24
858,3,636.51
859,36,314.87
860,19,424.08
861,29,881.40
862,84,637.19
863,75,322.21
864,70,232.86
865,52,740.52
866,79,948.80
867,15,761.07
868,88,175.18
869,37,900.93
870,59,815.62
871,21,743.38
872,89,478.00
873,1,881.01
874,2,186.03
875,15,543.06
876,33,351.51
877,8,273.26
878,71,798.92
879,90,573.14
880,62,481.73
881,100,477.23
882,74,182.37
883,78,474.92
884,18,235.44
885,90,245.30
886,83,165.15
887,82,120.16
888,14,377.96
889,15,340.96
890,11,200.36
891,2,725.47
892,66,503.13
893,20,209.43
894,17,701.96
895,95,679.22
896,30,175.86
897,75,160.81
898,50,193.36
899,26,481.02
900,90,187.29
901,12,966.02
902,74,669.00
903,53,593.69
904,19,322.26
905,36,864.64
906,5,467.97
907,68,307.68
908,92,839.54
909,21,785.92
910,30,760.52
911,42,318.11
912,38,464.24
913,44,681.94
914,32,446.68
915,85,914.06
916,53,792.98
917,42,473.08
918,68,167.84
919,30,280.65
920,61,911.47
921,32,206.57
922,56,130.32
923,2,113.49
924,97,224.56
925,35,326.90
926,39,741.90
927,70,545.62
928,31,498.90
929,12,259.17
930,3,660.48
931,40,586.85
932,94,817.84
933,89,704.76
934,61,355.60
935,60,475.94
936,3,749.15
937,43,649.55
938,29,382.08
939,80,544.80
940,13,925.15
941,54,784.61
942,7,666.53
943,40,195.64
944,28,135.05
945,19,739.37
946,11,805.95
947,59,590.36
948,54,630.35
949,97,927.38
950,10,479.26
951,16,252.47
952,57,942.13
953,76,904.47
954,51,871.07
955,98,681.55
956,14,511.26
957,41,539.47
958,55,807.98
959,64,380.21
960,98,831.05
961,9,397.44
962,65,207.39
963,98,693.64
964,79,402.13
965,50,435.34
966,70,938.94
967,54,961.38
968,12,600.25
969,44,610.22
970,46,598.14
971,36,981.90
972,54,856.16
973,65,699.98
974,97,792.93
975,10,889.53
976,47,248.29
977,62,236.43
978,31,242.33
979,97,243.87
980,95,107.91
981,32,351.29
982,86,587.86
983,14,831.88
984,98,436.55
985,95,334.02
986,94,617.33
987,97,582.09
988,32,936.09
989,94,602.78
990,16,501.21
991,62,191.82
992,2,351.43
993,93,387.58
994,43,741.35
995,19,866.43
996,6,425.59
997,30,925.92
998,100,332.45
999,27,371.32
1000,30,967.18
